# device_name, Phase (0 Locked 1 Awake 2 Active), intra-burst interval (value:probability/value:probability/... ), inter-burst interval (value:probability/value:probability/... ), state dwell time (value:probability/... ), jitter (value:probability/... )
18,1,0.09:0.73/0.07:0.63/0.08:0.67,3.83:0.67/4.68:0.99/3.92:0.88,5:0.17/10:0.25/20:0.14/30:0.23/45:0.18/60:0.03,0.01:0.26/0.05:0.11/0.1:0.53/0.2:0.09
18,2,0.05:0.83,3.85:0.74/2.9:0.28,5:0.11/10:0.33/20:0.04/30:0.26/45:0.07/60:0.2,0.01:0.21/0.05:0.1/0.1:0.36/0.2:0.33
think pad x1carbon,0,0.09:0.18,3.87:0.39,5:0.21/10:0.2/20:0.17/30:0.03/45:0.18/60:0.21,0.01:0.1/0.05:0.43/0.1:0.21/0.2:0.25
think pad x1carbon,1,0.07:0.41/0.08:0.53/0.05:0.63,4.21:0.25/2.61:0.25,5:0.05/10:0.27/20:0.22/30:0.05/45:0.21/60:0.2,0.01:0.19/0.05:0.14/0.1:0.55/0.2:0.12
think pad x1carbon,2,0.03:0.16/0.09:0.48,4.65:0.35,5:0.07/10:0.18/20:0.13/30:0.26/45:0.13/60:0.23,0.01:0.1/0.05:0.29/0.1:0.16/0.2:0.45
mi9lite,0,0.04:0.81/0.03:0.56/0.03:0.86,3.79:0.24/2.05:0.4/2.94:0.56,5:0.21/10:0.11/20:0.05/30:0.22/45:0.21/60:0.19,0.01:0.24/0.05:0.24/0.1:0.25/0.2:0.26
mi9lite,1,0.04:0.83/0.06:0.17,4.42:0.44/2.88:0.89/2.65:0.17,5:0.27/10:0.2/20:0.1/30:0.25/45:0.08/60:0.11,0.01:0.34/0.05:0.32/0.1:0.12/0.2:0.22
mi9lite,2,0.04:0.32/0.09:0.69,4.97:0.31/4.24:0.81,5:0.16/10:0.1/20:0.11/30:0.07/45:0.18/60:0.37,0.01:0.24/0.05:0.12/0.1:0.47/0.2:0.17
galaxys6edge,0,0.09:0.77,3.15:0.89,5:0.21/10:0.1/20:0.19/30:0.21/45:0.14/60:0.16,0.01:0.16/0.05:0.13/0.1:0.31/0.2:0.4
galaxys6edge,1,0.08:0.36/0.07:0.79/0.09:0.87,3.42:0.56/3.82:0.86/4.36:0.26,5:0.06/10:0.2/20:0.26/30:0.27/45:0.09/60:0.13,0.01:0.5/0.05:0.11/0.1:0.3/0.2:0.09
galaxys6edge,2,0.08:0.6/0.03:0.38/0.05:0.75,3.45:0.69/4.0:0.77/4.03:0.3,5:0.25/10:0.25/20:0.24/30:0.18/45:0.05/60:0.03,0.01:0.3/0.05:0.15/0.1:0.14/0.2:0.42
honor95,0,0.06:0.91/0.04:0.77/0.08:0.64,4.92:0.24/2.51:0.26,5:0.26/10:0.07/20:0.08/30:0.22/45:0.11/60:0.26,0.01:0.26/0.05:0.1/0.1:0.31/0.2:0.33
honor95,1,0.09:0.12/0.03:0.41,3.37:0.27,5:0.2/10:0.09/20:0.11/30:0.23/45:0.21/60:0.16,0.01:0.18/0.05:0.29/0.1:0.21/0.2:0.32
honor95,2,0.04:0.99,3.49:0.28/4.68:0.57/4.05:0.14,5:0.12/10:0.15/20:0.12/30:0.13/45:0.25/60:0.23,0.01:0.27/0.05:0.22/0.1:0.15/0.2:0.35
honor90,0,0.05:0.7/0.08:0.38/0.06:0.72,4.75:0.51/4.55:0.97,5:0.05/10:0.06/20:0.22/30:0.22/45:0.22/60:0.23,0.01:0.29/0.05:0.34/0.1:0.04/0.2:0.33
honor90,1,0.09:0.61/0.09:0.58,4.78:0.67/4.29:0.9/2.87:0.9,5:0.15/10:0.19/20:0.15/30:0.04/45:0.21/60:0.25,0.01:0.31/0.05:0.29/0.1:0.19/0.2:0.21
honor90,2,0.07:0.79/0.06:0.39,2.4:0.46/2.19:0.21/3.51:0.99,5:0.14/10:0.05/20:0.25/30:0.19/45:0.25/60:0.12,0.01:0.28/0.05:0.13/0.1:0.29/0.2:0.3
x60pro+,0,0.1:0.79,3.25:0.4/4.58:0.81,5:0.05/10:0.26/20:0.18/30:0.17/45:0.26/60:0.08,0.01:0.29/0.05:0.35/0.1:0.3/0.2:0.06
x60pro+,1,0.09:0.7,3.0:0.23,5:0.26/10:0.06/20:0.06/30:0.4/45:0.11/60:0.12,0.01:0.1/0.05:0.37/0.1:0.17/0.2:0.36
x60pro+,2,0.06:0.52/0.03:0.45,2.3:0.73/2.75:0.66/3.53:0.78,5:0.11/10:0.21/20:0.17/30:0.2/45:0.16/60:0.16,0.01:0.55/0.05:0.12/0.1:0.18/0.2:0.15
mi10lite,0,0.05:0.9/0.03:0.33/0.09:0.82,3.54:0.2,5:0.05/10:0.13/20:0.17/30:0.2/45:0.25/60:0.21,0.01:0.23/0.05:0.23/0.1:0.35/0.2:0.19
mi10lite,1,0.03:0.89/0.03:0.86/0.02:0.78,4.6:0.85,5:0.08/10:0.32/20:0.21/30:0.2/45:0.09/60:0.1,0.01:0.32/0.05:0.24/0.1:0.38/0.2:0.06
mi10lite,2,0.05:0.72/0.07:0.85/0.04:0.58,3.47:0.17/4.96:0.81,5:0.24/10:0.08/20:0.25/30:0.16/45:0.17/60:0.1,0.01:0.16/0.05:0.1/0.1:0.31/0.2:0.43
galaxys10,0,0.09:0.58/0.07:0.31,3.8:0.74/4.96:0.87/2.39:0.88,5:0.14/10:0.1/20:0.22/30:0.11/45:0.21/60:0.22,0.01:0.28/0.05:0.11/0.1:0.36/0.2:0.25
galaxys10,1,0.09:0.11,3.18:0.77,5:0.06/10:0.11/20:0.14/30:0.38/45:0.25/60:0.04,0.01:0.38/0.05:0.4/0.1:0.07/0.2:0.16
galaxys10,2,0.07:0.92/0.1:0.8,3.32:0.59,5:0.21/10:0.16/20:0.09/30:0.06/45:0.17/60:0.31,0.01:0.2/0.05:0.12/0.1:0.34/0.2:0.34
one plus8pro,0,0.06:0.38/0.05:0.17,4.9:0.74,5:0.04/10:0.04/20:0.19/30:0.29/45:0.13/60:0.3,0.01:0.35/0.05:0.36/0.1:0.15/0.2:0.13
one plus8pro,1,0.06:0.15/0.04:0.33,3.03:0.79/3.78:0.42,5:0.23/10:0.2/20:0.04/30:0.15/45:0.11/60:0.27,0.01:0.44/0.05:0.09/0.1:0.17/0.2:0.3
one plus8pro,2,0.07:0.72/0.02:0.67,3.54:0.38/2.82:0.61,5:0.07/10:0.36/20:0.27/30:0.1/45:0.08/60:0.12,0.01:0.24/0.05:0.32/0.1:0.21/0.2:0.24
red magic7s,0,0.09:0.71/0.03:0.81,2.12:0.29/2.54:0.6/2.8:0.14,5:0.14/10:0.04/20:0.3/30:0.13/45:0.28/60:0.1,0.01:0.18/0.05:0.35/0.1:0.31/0.2:0.15
red magic7s,1,0.03:0.86,4.17:0.8/2.19:0.92/4.3:0.26,5:0.16/10:0.07/20:0.18/30:0.14/45:0.24/60:0.21,0.01:0.23/0.05:0.29/0.1:0.34/0.2:0.14
red magic7s,2,0.03:0.61/0.08:0.82/0.05:0.93,4.96:0.88/2.02:0.77/3.07:0.81,5:0.33/10:0.18/20:0.05/30:0.15/45:0.17/60:0.12,0.01:0.49/0.05:0.09/0.1:0.35/0.2:0.08
red magic7pro,0,0.05:0.36,2.17:0.89,5:0.23/10:0.12/20:0.14/30:0.1/45:0.18/60:0.22,0.01:0.25/0.05:0.2/0.1:0.28/0.2:0.27
red magic7pro,1,0.09:0.47/0.06:0.78,4.78:0.73/3.2:0.14,5:0.28/10:0.25/20:0.04/30:0.2/45:0.14/60:0.09,0.01:0.09/0.05:0.09/0.1:0.38/0.2:0.45
red magic7pro,2,0.1:0.13/0.1:0.36/0.1:0.71,2.05:0.82,5:0.26/10:0.04/20:0.16/30:0.26/45:0.17/60:0.11,0.01:0.37/0.05:0.21/0.1:0.32/0.2:0.1
note8t,0,0.03:0.44,2.93:0.86/3.09:0.33/4.01:0.25,5:0.18/10:0.14/20:0.17/30:0.07/45:0.33/60:0.12,0.01:0.27/0.05:0.23/0.1:0.13/0.2:0.37
note8t,1,0.07:0.56/0.09:0.8,2.46:0.22/3.82:0.7,5:0.3/10:0.17/20:0.13/30:0.05/45:0.19/60:0.16,0.01:0.18/0.05:0.07/0.1:0.31/0.2:0.43
note8t,2,0.02:0.15/0.03:0.2,3.81:0.79/3.5:0.36/3.13:0.54,5:0.21/10:0.05/20:0.2/30:0.25/45:0.14/60:0.15,0.01:0.19/0.05:0.35/0.1:0.32/0.2:0.13
Realme q3i,0,0.03:0.7/0.05:0.65,2.62:0.65,5:0.08/10:0.18/20:0.23/30:0.19/45:0.22/60:0.09,0.01:0.18/0.05:0.19/0.1:0.35/0.2:0.28
Realme q3i,1,0.09:0.49,4.66:0.87/4.89:0.83/3.78:0.41,5:0.07/10:0.13/20:0.1/30:0.21/45:0.27/60:0.21,0.01:0.09/0.05:0.49/0.1:0.09/0.2:0.33
Realme q3i,2,0.05:0.21/0.05:0.95,2.92:0.26,5:0.07/10:0.2/20:0.18/30:0.17/45:0.19/60:0.19,0.01:0.4/0.05:0.42/0.1:0.09/0.2:0.1
p40lite,0,0.06:0.8/0.1:0.15/0.06:1.0,2.16:0.89,5:0.25/10:0.05/20:0.2/30:0.12/45:0.1/60:0.28,0.01:0.26/0.05:0.33/0.1:0.1/0.2:0.31
p40lite,1,0.03:0.54/0.07:0.6,2.49:0.25/4.75:0.94/3.32:0.13,5:0.08/10:0.09/20:0.25/30:0.27/45:0.26/60:0.04,0.01:0.3/0.05:0.25/0.1:0.13/0.2:0.32
p40lite,2,0.08:0.22/0.1:0.55/0.03:0.37,2.03:0.43/4.65:0.75,5:0.31/10:0.07/20:0.17/30:0.21/45:0.19/60:0.05,0.01:0.13/0.05:0.3/0.1:0.34/0.2:0.23
